	LV	ZI	BR	PG	MV	GC	SF	YO	DV	LA	SS	MO
LV	0	258	419	438	635	444	915	638	229	433	693	813
ZI	258	0	137	186	383	399	1170	1041	469	689	948	1069
BR	419	137	0	244	442	457	1332	1202	631	851	1110	1230
PG	438	186	244	0	196	211	1351	1221	649	869	1128	1249
MV	635	383	442	196	0	281	1508	1378	847	1026	1285	1408
GC	444	399	457	211	281	0	1272	1142	623	790	1049	1170
SF	915	1170	1332	1351	1508	1272	0	302	819	615	387	192
YO	638	1041	1202	1221	1378	1142	302	0	485	500	384	320
DV	229	469	631	649	847	623	819	485	0	467	597	718
LA	433	689	851	869	1026	790	615	500	467	0	394	514
SS	693	948	1110	1128	1285	1049	387	384	597	394	0	151
MO	813	1069	1230	1249	1408	1170	192	320	718	514	151	0
